Time,x0,x1
0,1.5708,0
0.001,1.5708,-0.00980951
0.002,1.57078,-0.019618
0.003,1.57076,-0.0294256
0.004,1.57072,-0.0392322
0.005,1.57068,-0.0490377
0.006,1.57062,-0.0588423
0.007,1.57056,-0.068646
0.008,1.57049,-0.0784486
0.009,1.5704,-0.0882503
0.01,1.57031,-0.098051
0.011,1.57021,-0.107851
0.012,1.57009,-0.117649
0.013,1.56997,-0.127447
0.014,1.56984,-0.137244
0.015,1.5697,-0.14704
0.016,1.56954,-0.156834
0.017,1.56938,-0.166628
0.018,1.56921,-0.176421
0.019,1.56903,-0.186213
0.02,1.56884,-0.196004
0.021,1.56864,-0.205794
0.022,1.56843,-0.215583
0.023,1.56821,-0.225371
0.024,1.56798,-0.235158
0.025,1.56774,-0.244943
0.026,1.56749,-0.254728
0.027,1.56723,-0.264512
0.028,1.56696,-0.274295
0.029,1.56668,-0.284077
0.03,1.56639,-0.293858
0.031,1.56609,-0.303638
0.032,1.56578,-0.313417
0.033,1.56546,-0.323196
0.034,1.56514,-0.332973
0.035,1.5648,-0.342749
0.036,1.56445,-0.352524
0.037,1.56409,-0.362298
0.038,1.56373,-0.372071
0.039,1.56335,-0.381843
0.04,1.56296,-0.391614
0.041,1.56257,-0.401384
0.042,1.56216,-0.411153
0.043,1.56174,-0.420921
0.044,1.56132,-0.430688
0.045,1.56088,-0.440454
0.046,1.56044,-0.450219
0.047,1.55998,-0.459983
0.048,1.55952,-0.469746
0.049,1.55904,-0.479508
0.05,1.55856,-0.489268
0.051,1.55806,-0.499028
0.052,1.55756,-0.508787
0.053,1.55705,-0.518545
0.054,1.55652,-0.528301
0.055,1.55599,-0.538057
0.056,1.55545,-0.547812
0.057,1.55489,-0.557565
0.058,1.55433,-0.567318
0.059,1.55376,-0.577069
0.06,1.55318,-0.586819
0.061,1.55259,-0.596569
0.062,1.55198,-0.606317
0.063,1.55137,-0.616064
0.064,1.55075,-0.62581
0.065,1.55012,-0.635555
0.066,1.54948,-0.645299
0.067,1.54883,-0.655041
0.068,1.54817,-0.664783
0.069,1.5475,-0.674523
0.07,1.54682,-0.684263
0.071,1.54613,-0.694001
0.072,1.54543,-0.703738
0.073,1.54473,-0.713474
0.074,1.54401,-0.723209
0.075,1.54328,-0.732942
0.076,1.54254,-0.742675
0.077,1.54179,-0.752406
0.078,1.54104,-0.762136
0.079,1.54027,-0.771865
0.08,1.53949,-0.781592
0.081,1.53871,-0.791319
0.082,1.53791,-0.801044
0.083,1.5371,-0.810768
0.084,1.53629,-0.820491
0.085,1.53546,-0.830212
0.086,1.53463,-0.839932
0.087,1.53378,-0.849651
0.088,1.53293,-0.859369
0.089,1.53206,-0.869085
0.09,1.53119,-0.8788
0.091,1.53031,-0.888514
0.092,1.52941,-0.898227
0.093,1.52851,-0.907938
0.094,1.5276,-0.917648
